position,iris,exposuregain,shutterspeed,brightness
0,8,0,15,0
1,9,0,15,0
2,9,1,15,0
3,9,1,14,0
4,9,1,14,1
5,10,1,14,1
6,10,2,14,1
7,10,2,13,1
8,10,2,13,2
9,11,2,13,2
10,11,3,13,2
11,11,3,12,2
12,11,3,12,3
13,12,3,12,3
14,12,4,12,3
15,12,4,11,3
16,12,4,11,4
17,13,4,11,4
18,13,5,11,4
19,13,5,10,4
20,13,5,10,5
21,13,5,10,5
22,13,6,10,5
23,13,6,9,5
24,13,6,9,6
25,13,6,9,6
26,13,7,9,6
27,13,7,8,6
28,13,7,8,7
29,13,7,8,7
30,13,8,8,7
31,13,8,7,7
32,13,8,7,8
33,13,8,7,8
34,13,9,7,8
35,13,9,6,8
36,13,9,6,9
37,13,9,6,9
38,13,10,6,9
39,13,10,6,9
40,13,10,6,10
41,13,10,6,10
42,13,11,6,10
43,13,11,6,10
44,13,11,6,11
45,13,11,6,11
46,13,12,6,11
47,13,12,6,11
48,13,12,6,12
49,13,12,6,12
50,13,13,6,12
51,13,13,6,12
52,13,13,6,13
53,13,13,6,13
54,13,14,6,13
55,13,14,6,13
56,13,14,6,14
57,13,14,6,14
58,13,15,6,14
59,13,15,6,14
60,13,15,6,15
